NAME,M38U,PNG,DESCR,FEAT,SIMPLE
Ардха Бхуджангасана - Сфинкс,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%91%D1%85%D1%83%D0%B4%D0%B6%D0%B0%D0%BD%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%20-%20%D0%A1%D1%84%D0%B8%D0%BD%D0%BA%D1%81/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%91%D1%85%D1%83%D0%B4%D0%B6%D0%B0%D0%BD%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%20-%20%D0%A1%D1%84%D0%B8%D0%BD%D0%BA%D1%81.png,"Лечь на пол на живот. Руки поставить на предплечья таким образом, чтобы угол между плечом и полом составлял примерно 45 градусов. Пальцы рук вытянуты вперёд, ладони обращены к полу. Шею «вытащить» из плеч. Аккуратно запрокинуть голову назад, немного растянув переднюю поверхность шеи. Глаза закрыты. Живот расслаблен, дыхание свободное. Расслабить мышцы спины вдоль позвоночника, ягодицы и обе ноги. Вес тела удерживается на плечевом поясе, усилие умеренное. Время выдержки по ощущениям, но не более 2-х минут. Далее лечь на живот и расслабиться, вытянув одну руку вперёд и развернув лицо в сторону вытянутой руки. Время расслабления должно быть достаточным для снятия остаточных ощущений от выдержки асаны. Далее переходить к следующей асане.","Отслеживать, чтобы усилие – напряжение с области плечевого пояса не передавалось на спину, ягодицы и ноги.","Если в позвоночнике появляется дискомфорт, то степень прогиба назад позвоночника необходимо уменьшить, выдвинув руки немного вперёд."
Ардха Матсиендрасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9C%D0%B0%D1%82%D1%81%D0%B8%D0%B5%D0%BD%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9C%D0%B0%D1%82%D1%81%D0%B8%D0%B5%D0%BD%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пол, выпрямив ноги перед собой. Левую ногу согнуть в колене и заступить стопой за правое бедро, поставив стопу на пол справа от бедра. Чуть качнув корпус вправо, согнуть правую ногу в колене, правое бедро на полу, правая пятка подтягивается к левой ягодице. Выпрямить корпус. Далее, из этого положения поворачиваем плечи относительно таза влево, левое плечо идёт назад. Левая рука упирается в пол сзади-слева. Голова также доворачивается влево, лицо обращено назад. Одновременно с поворотом корпуса, захватываем правой рукой (локтевым сгибом) левое колено. Остаёмся в этом положении комфортное время, но не более 3 – 3.5 минут. Максимально расслабляем все мышцы, не участвующие в поддержании асаны: ноги, живом, мышцы лица, глаза, дыхание. Минимизируем усилия тех мышц, которые так или иначе задействованы в асане. После выдержки выходим из асаны и выполняем в другую сторону асану (вправо), меняя взаимное положение частей тела.","Эта асана считается одной из лучших поз в йоге на скручивание. Во время скручивания не давить силой на форму асаны, стараясь скрутиться как можно больше. Принимая конечную форму, нужно повернуть плечи до возникновения сопротивления в теле и остаться в этом положении. В конечном положении, расслабляя тело, можно почувствовать со временем некий свободный люфт, который без труда можно «выбрать», докрутив без усилий корпус, тем самым спонтанно увеличив гибкость в асане.","Если возникает трудность с подтягиванием пятки к ягодице (после того, как вы противоположной ногой зашагнули за бедро), то можно выполнять эту асану без этого элемента, просто зашагнув стопой за бедро противоположной ноги и скрутив корпус.

 

"
Ардха Навасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9D%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9D%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на пол на спину. Согнуть ноги в коленях и поставить ступни на пол. Руки сложить на животе. Приподнять туловище и голову над полом, ссутулив, «скруглив» спину. Подбородок прижат к ярёмной впадине. Глаза закрыты. Расслабить лицо. Расслабить по возможности дыхание. Мышцы живота умеренно напряжены. Держать асану по ощущениям. Далее лечь на спину и расслабиться. Время расслабления должно быть достаточным для снятия остаточных ощущений от выдержки асаны. Далее переходить к следующей асане.",Напряжение мышц живота должно находиться в умеренной зоне и быть относительно комфортным. ,Можно уменьшить напряжение в асане за счёт уменьшения уровня подъёма корпуса над полом. 
Ардха Падма Пасчимоттанасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9F%D0%B0%D0%B4%D0%BC%D0%B0%20%D0%9F%D0%B0%D1%81%D1%87%D0%B8%D0%BC%D0%BE%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9F%D0%B0%D0%B4%D0%BC%D0%B0%20%D0%9F%D0%B0%D1%81%D1%87%D0%B8%D0%BC%D0%BE%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть, выпрямив ноги перед собой. Правую ногу согнуть в колене и подтянуть пятку к промежности. Затем положить правую стопу на бедро левой ноги (как при выполнении Ардха Падмасаны). Развернуть корпус перпендикулярно выпрямленной вперёд левой ноги и начать наклон корпуса к ноге. Во время наклона допускается подсгибать в колене левую ногу. Спина может немного скругляться. При правильном выполнении живот опускается на бедро левой ноги, на котором также лежит правая стопа, а голова уходит к лодыжке. Над коленом левой ноги оказывается плечо и грудная клетка. Руками захватываем пальцы ноги, либо обхватываем стопу пальцами рук, сложенными в пальцевой замок, либо захватываем лодыжку. По мере выдержки асаны расслабляем, прежде всего, подколенную область и заднюю поверхность бедра выпрямленной ноги (в данном случае левой), и правую ногу (лодыжку, колено, бедро), при этом корпус может ощутимо проседать вниз, и глубина асаны тем самым будет спонтанно увеличиваться. В конечной фазе асаны, когда глубина полностью выбрана и прекратилось спонтанное движение тела по форме, максимально расслабиться, отпустить глаза в глубине и созерцать естественное дыхание. Время выдержки по ощущениям, но не более 3-х минут. Затем выходим и асаны, выпрямляя корпус и правую ногу, и выполняем асану, меняя взаимное положение ног.","Основным моментом в выполнении наклона корпуса вперед является складывание пополам в тазобедренном суставе так, чтобы происходило давление бедра на брюшную область, при этом колено выпрямленной ноги может немного сгибаться. Вовсе не обязательно держать ногу идеально выпрямленной. С другой стороны, при наклоне, по возможности, сохранять позвоночник в выпрямленном или слегка подсогнутом (но не сильно) положении, чтобы осуществлялось вытягивание спины и снятье компрессионного воздействия на позвоночник. Быть предельно внимательным в отношении силы воздействия (ощущений) в области коленей во время выполнения!","Если стопа не ложится на бедро противоположной ноги, то можно выполнять из исходного положения как в Джану Ширшасане, но подложить сложенное одеяло под стопу согнутой ноги, тем самым приближаясь к выполнению оригинального варианта этой асаны.

"
Ардха Падмасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9F%D0%B0%D0%B4%D0%BC%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%20(1)/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%9F%D0%B0%D0%B4%D0%BC%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пол и вытянуть ноги перед собой, немного разведя их в стороны. Сгибая левую ногу в колене, подвести пятку к промежности и положить стопу на правое бедро. Колено левой ноги обращено влево, бедро в горизонтальной плоскости. Далее, правую ногу согнуть в колене и убрать под левую, при этом стопа правой ноги окажется под бедром левой ноги.  Руки сложить на бёдра или колени в наиболее комфортном виде (ладонями вверх или вниз) Корпус вертикально, шея прямая, макушка «смотрит» вверх. Закрыть глаза и полностью расслабиться. Время выдержки по ощущениям, но на начальных этапах освоения будет достаточно 2 – 3 минут на каждую ногу. Далее, выпрямить ноги, снять напряжение и поменять ноги местами, вновь выполнить асану. 

","Это медитативная асана, поэтому очень важно научиться в ней максимально расслабляться, и оставаться в комфортном положении длительное время. 
","если в ногах возникает дискомфорт при попытке их сложить в Ардха Падмасану, то можно просто скрестить ноги «по-турецки» и расслабиться. Также можно откинуться спиной на стену.
 "
Ардха Халасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%A5%D0%B0%D0%BB%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%A5%D0%B0%D0%BB%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на спину таким образом, чтобы закинуть ноги на стенку, пододвинув вплотную к стене ягодицы. Корпус лежит на полу под прямым углом к стене. Ноги закинуты на стену примерно под тем же углом. Руки выпрямлены за головой и сцеплены в пальцевый замок, а затем – расслаблены. Глаза закрыты. Расслабить ноги (при этом они могут быть слегка согнуты в коленях) и плечевой пояс. Время выдержки по ощущениям, но не более пяти минут. Выйти из асаны и расслабиться. 

","Необходимо минимизировать усилия в ногах, для получения эффекта от асаны.

","если при придвинутых к стене ягодицах возникает сильное ощущение натяжения в задней поверхности ног, то следует немного отодвинуть таз от стены, тем самым, снизив интенсивность ощущений. "
Ардха Чандрасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%A7%D0%B0%D0%BD%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%90%D1%80%D0%B4%D1%85%D0%B0%20%D0%A7%D0%B0%D0%BD%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Стопу левой ноги разворачиваем на 90 градусов влево и, перенося вес тела на левую ногу, наклоняемся влево, поднимая правую ногу над полом. Левую руку ставим в упор на пол, правая рука поднимается вверх вертикально. Лицо обращено вверх. Шея – продолжение линии позвоночника. Вес тела в основном на опорной левой ноге. Живот расслаблен, дыхание свободное. Время выдержки по ощущениям. Далее выйти из асаны в обратной последовательности и расслабиться необходимое для снятия напряжения время. Затем сделать асану в правую сторону. 

",,"Выполнять менее глубокий наклон, ставя опорную руку на «кирпич» – пропс. Выпрямленную вверх руку, если это положение вызывает дискомфорт, можно опускать вниз.

"
Бакасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%91%D0%B0%D0%BA%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%91%D0%B0%D0%BA%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на корточки. Приподняться на носках. Сгибая корпус вперёд, упереться руками в пол перед собой. Руки стоят немного шире плеч. Упритесь ногами в области чуть ниже колен во внешнюю область плеч (область руки от плеча до локтя). Медленно качнитесь вперёд, перенося весь вес тела на руки, оторвите ноги от пола и балансируйте на руках. В конечном положении расслабьте лицо и дыхание. Время выдержки по ощущениям. После выдержки асаны перейти в положение «сидя на пятках» и расслабиться.","Эта асана с явно выраженным силовым компонентом. Также в ней присутствует элемент равновесия. Во время выполнения стараться снимать лишнее усилие, оставляя только необходимый минимум для поддержания формы асаны. Таким образом, напряжение будет минимально представлено в восприятии, что позволит сохранять общее состояние покоя. По мере совершенствования этой асаны, она все более будет переходить из разряда «силовых» в категорию «асаны на равновесие». На первых этапах освоения в целях безопасности перед лицом можно положить мягкую подушку.",",Эту асану можно вначале осваивать перед стеной, слегка упираясь головой в стену и облегчая тем самым нахождение «точки равновесия»."
Бхуджангасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%91%D1%85%D1%83%D0%B4%D0%B6%D0%B0%D0%BD%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%91%D1%85%D1%83%D0%B4%D0%B6%D0%B0%D0%BD%D0%B3%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на пол на живот. Поставить руки перед собой ладонями на пол на уровне плеч, но немного шире плеч, развернув их пальцами друг к другу. Ноги остаются на ширине плеч. Медленно прогибаемся назад за счёт разгибания рук, очень внимательно отслеживая ощущения в спине, особенно в пояснице. Как только едва появляется ощущение в области спины, тут же прогиб останавливаем и удерживаем асану комфортное время. В конечном положении голову аккуратно запрокинуть назад. Вес тела удерживается на руках и плечевом поясе, все остальные мышцы расслабить: ноги, ягодицы, живот, мышцы спины вдоль позвоночника. Дыхание свободное. Время выдержки по ощущениям. Как только ощущения начинают усиливаться, либо нарастать работа мышц, следует выйти из асаны и расслабиться,  вытянув одну руку вперёд и развернув лицо в сторону вытянутой руки. Время расслабления должно быть достаточным для снятия остаточных ощущений от выдержки асаны. Далее переходить к следующей асане.","Очень внимательно отслеживать ощущения в спине, не допуская явных и, тем более, болевых. Следить, чтобы напряжение с области рук не передавалось на спину.

","Более простой вариант этой асаны называется Ардха Бхуджангасана (см. каталог). С межпозвонковыми грыжами и иными нарушениями позвоночника эту асану необходимо заменить на упрощённый  вариант (Ардха Бхуджангасана)
"
Вирабхадрасана 1,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%92%D0%B8%D1%80%D0%B0%D0%B1%D1%85%D0%B0%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%201/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%92%D0%B8%D1%80%D0%B0%D0%B1%D1%85%D0%B0%D0%B4%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%201.png,"Поворачиваем стопу  левой  ноги на 90 градусов влево, а правую стопу доворачиваем влево примерно на 45 – 60 градусов. Сгибаем левую ногу в колене так, чтобы колено было над пяткой левой ноги,  глубину асаны подбираем согласно ощущениям. Руки разводим в стороны до горизонтального уровня, голова развёрнута влево. Живот расслаблен, дыхание свободное. Время выдержки асаны по ощущениям. После выдержки выйти из асаны и расслабиться необходимое время. Все остаточные ощущения должны быть сняты. Затем делаем асану вправо.

",,
