url,c1,c2,c3,email,vk,wa,tg
https://www.fakeshoker.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/common-js/common.v2.24.69.js"">",<!--InsalesCounter -->,all@fakeshoker.ru,,,
https://camilia-russia.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,camilia-russia@mail.ru,,,t.me/camilia_news
https://xn--e1affnmpdv.xn--p1ai/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/4488/32067976/original/Untitled_logo_1_free-file-1.jpg"" />",<!--InsalesCounter -->,rukintex@yandex.ru,vk.com/rukintex,,
https://ags-seeds.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/4110/33697806/original/logo-7.jpg"">",<!--InsalesCounter -->,ale-solowjew@yandex.ru,,,
https://dhz-fitness.site/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/6131/35067891/original/Креатив_без_названия__1_.png"">",<!--InsalesCounter -->,,,wa.me/+79951007970,
https://kupibuketmsk.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/3092/33483796/original/82085cd7-4308-44fe-a2a2-f08ccdc293cc_479cff09f0f48791a9a3b9c16e825f88.jpg"">",<!--InsalesCounter -->,flowersbyerik@gmail.com,,wa.me/89999190211,
https://yu-ra.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/311/30581047/original/120x120_Eo_circle_blue_white_letter-y.svg.png"" />",<!--InsalesCounter -->,"yuraru@ya.ru, yu-ra-ru@ya.ru",,,
https://www.251777.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,romanenko-rodion@mail.ru,,,
https://kladezr.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/common-js/common.v2.24.69.js"">",<!--InsalesCounter -->,rkladez@mail.ru,,,
https://chicbazaar.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/3839/33328895/original/newlogo_b95e7d60fae40533aad9e5e870b37791.png"">",<!--InsalesCounter -->,electric-m@bk.ru,vk.com/zima_kostum,wa.me/+79398002121,
https://www.don-product.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/common-js/common.v2.24.69.js"">",<!--InsalesCounter -->,mail@don-product.ru,,,
https://mx26brand.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/1/436/6373812/1721135537/favicon.png"">",<!--InsalesCounter -->,pishite85@mail.ru,,,
https://almaz-na-stanok.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/1/3745/6311585/1701082140/favicon.png"">",<!--InsalesCounter -->,almaz-na-stanok@yandex.ru,,wa.me/+79137074335,
https://parametersshop.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/3253/33442997/original/parameters_аватарка.png"" />",<!--InsalesCounter -->,Far_East@parametersshop.ru,,wa.me/+79243023233,t.me/Parametersshop
https://icefish.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,"info@icefish.ru, 4555525@mail.ru",,,
https://sohogirls.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/common-js/common.v2.24.69.js"">",<!--InsalesCounter -->,SUPPORT@SOHOGIRLS.RU,vk.com/sohogirls,,t.me/sohogirls
https://florenamarket.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/1/1137/6374513/1721564176/favicon.png"">",<!--InsalesCounter -->,androsovicha@rambler.ru,,,
https://www.petipa.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,divex@bk.ru,vk.com/petipa41,,t.me/petipa41
https://timwear.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/1/2615/6433335/1723325074/favicon.png"" />",<!--InsalesCounter -->,timwear@yandex.ru,vk.com/timwear,wa.me/https://wa.me/79663608778,t.me/timwear
https://malutka21.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/3836/31436540/original/для_сайта_1_aa351c851bc0ebff1c85068150c11bc7.png"" />",<!--InsalesCounter -->,maljutka21@yandex.ru,vk.com/maljutka21,wa.me/+79276675024,
https://petdostavka.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/common-js/common.v2.24.69.js"">",<!--InsalesCounter -->,info@petdostavka.ru,,,
https://bakari.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/common-js/common.v2.24.69.js"">",<!--InsalesCounter -->,9833425999@mail.ru,vk.com/bakari_sushi,,
https://huchentecshop.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,"nar@tochkatepla.ru, rktochkatepla@gmail.com, alex@tochkatepla.ru",vk.com/tochka.tepla,,t.me/tochkateplabot
https://www.donbassfilatelie.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,pazefilatelie@yandex.ru,vk.com/js/api/openapi.js,,
https://xn--80adtfulrbaj.xn--p1ai/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/common-js/common.v2.24.69.js"">",<!--InsalesCounter -->,krovati.tut@mail.ru,vk.com/krovati_tut,,
https://kolvika.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,v.kabanov@inbox.ru,vk.com/kolvika_centre,,t.me/kolvika_jc
https://canadian-camper.com/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,sales@canadian-camper.com,,wa.me/79911096755,t.me/Salmogroup
https://artenia.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,artenia51@mail.ru,vk.com/artenia,,t.me/artenia_fabrics
https://www.jan-net.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,"jan-net@bk.ru, info.jan-net@mail.ru, spirina-an@mail.ru",vk.com/jan.net.shopgroup,,
https://praktikadays.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,ask@preboris.ru,vk.com/praktika_days,,t.me/praktikadaysonline
https://www.montessori-kroha.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,montessori.kroha@gmail.com,,,
http://www.penguinstore.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/7184/34389008/original/Пингвин_69c49266c6dd3417e21859c1a6b92586.png"">",<!--InsalesCounter -->,penguinstoremsk@gmail.com,,,
https://totmart.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/7049/32807817/original/34.jpg"">",<!--InsalesCounter -->,ecom@prodex.ru,,,
https://corsage.shop/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/1/2362/6326586/1723641488/favicon.png"">",<!--InsalesCounter -->,corsage@corsage.shop,,,
https://dyadyavitya.ru/,<meta name='insales-redefined-api-methods',,<!--InsalesCounter -->,dyadyavitya22@mail.ru,vk.com/dyadyavitya22,,
https://teplolab.com/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,lipchanskiy@mail.ru,vk.com/public211975905,,t.me/Teplolab
https://starsun.shop/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/files/1/2747/31189691/original/Иллюстрация_без_названия_9427216b6d760b475516fdef993baa2e.png"" />",<!--InsalesCounter -->,"starsun.shop@yandex.ru, ponyabu@gmail.com",vk.com/starsuuun.shop,,t.me/starsuuun
https://boutonru.ru/,<meta name='insales-redefined-api-methods',"https://static.insales-cdn.com/assets/static-versioned/v3.72/static/libs/lodash/4.17.21/lodash.min.js"">",<!--InsalesCounter -->,"bouton.ru@bk.ru, noreply@boutonru.ru",vk.com/boutonru,wa.me/79111196886,t.me/boutonru
